epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1264,1.13218,0.91855,1,0.47254,0.000410798,0.000410798,0.000410798
2,20.1319,0.48421,0.96833,1,0.13073,0.000745546,0.000745546,0.000745546
3,30.0311,0.35118,0.97738,1,0.10694,0.000997793,0.000997793,0.000997793
4,39.9088,0.27877,0.99095,1,0.04772,0.00087875,0.00087875,0.00087875
5,49.8365,0.29461,0.99095,1,0.03785,0.000755,0.000755,0.000755
6,59.8372,0.23042,0.9819,1,0.05201,0.00063125,0.00063125,0.00063125
7,69.8963,0.18209,0.98643,1,0.04825,0.0005075,0.0005075,0.0005075
8,79.7171,0.18649,0.99095,1,0.0278,0.00038375,0.00038375,0.00038375
9,89.5453,0.17824,0.99548,1,0.02156,0.00026,0.00026,0.00026
10,99.3406,0.15337,0.99095,1,0.02167,0.00013625,0.00013625,0.00013625
